feature,coefficient,odds_ratio,absolute_coefficient
periventricular_mri,1.6235975120553954,5.0713016079237985,1.6235975120553954
oligoclonal_bands,1.2752751222309138,3.579686125869689,1.2752751222309138
infratentorial_mri,1.206010998431711,3.3401342421176343,1.206010998431711
symptom_motor,0.8108380513853495,2.2497926386861535,0.8108380513853495
breastfeeding,-0.6950861612325265,0.4990314489680258,0.6950861612325265
llssep,0.6471205271745762,1.910033014856964,0.6471205271745762
gender,-0.5839928011940992,0.5576672608437093,0.5839928011940992
schooling_(y),0.554873362159533,1.741720403096831,0.554873362159533
baep,-0.5208195443495331,0.5940335116156301,0.5208195443495331
symptom_other,0.5091194725112739,1.6638255056565567,0.5091194725112739
cortical_mri,0.49148365384941123,1.6347398096380803,0.49148365384941123
symptom_sensory,0.4698984359412028,1.5998316995649422,0.4698984359412028
spinal_cord_mri,0.4274463932116865,1.533336980194282,0.4274463932116865
varicella,-0.4174524217611764,0.6587228319746941,0.4174524217611764
symptom_visual,0.3926553892826306,1.4809079646293557,0.3926553892826306
age_(y),0.1983385983978853,1.2193752024194942,0.1983385983978853
vep,0.09569829332632332,1.1004270077325757,0.09569829332632332
ulssep,-0.06618041197331721,0.9359619903090112,0.06618041197331721
